,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
36,4.480876070000008,-8.171389999999999,4,Ni,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/06_NiO2/no_sym/ICOHPLIST.lobster,11.771968010397828,-2.157936116876706,-8.12790747107292,3d,0.0,3.333,2.0972767400000123,OH,2.383599329999996,O-OH,6.667,6,0,-2.0428474999999997,-2.03197686776823,18.585742574257424,19.015,1.91,10,4,28
37,4.0941954200000055,-8.171389999999999,4,Ni,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/06_NiO2/no_sym/ICOHPLIST.lobster,11.771968010397828,-2.157936116876706,-8.12790747107292,3d,0.0,4.0,1.6035417900000084,OH,2.490653629999997,O-OH,6.0,6,0,-2.0428474999999997,-2.03197686776823,19.015,19.015,1.91,10,4,28
38,4.75157462,-6.005010000000001,4,Cu,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,12.533828338542303,-2.013448009334133,-6.188588615580923,3d,0.0,3.333,2.2884642799999995,OH,2.46311034,O-OH,7.667,7,0,-1.5012525000000003,-1.5471471538952308,19.455703570357034,19.95,1.9,11,4,29
39,4.709045009999997,-6.005010000000001,4,Cu,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,12.533828338542303,-2.013448009334133,-6.188588615580923,3d,0.0,4.0,2.278097509999995,OH,2.430947500000002,O-OH,7.0,7,0,-1.5012525000000003,-1.5471471538952308,19.95,19.95,1.9,11,4,29
40,4.665064084999997,-3.527359999999999,2,Zn,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/09_ZnO/no_sym/ICOHPLIST.lobster,14.86957164310144,-2.8625629582388057,-3.3239416501745778,3d,0.0,1.93,1.816516374999999,OH,2.8485477099999983,O-OH,10.07,10,0,-1.7636799999999995,-1.6619708250872889,19.792692901554403,19.8615,1.65,12,4,30
41,4.794566389999986,-4.24144,3,Zn,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/09_Zn2O3/no_sym/ICOHPLIST.lobster,14.255926956437358,-2.1917222438474115,-4.217314543918126,3d,0.0,2.833,1.9112189499999768,OH,2.8833474400000085,O-OH,9.167,9,0,-1.4138133333333334,-1.4057715146393752,19.858118602188494,19.857666666666667,1.65,12,4,30
42,4.817226870000013,-4.93987,4,Zn,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,13.599860464771206,-1.8188669372042643,-5.053921508653263,3d,0.0,3.333,2.230525390000011,OH,2.586701480000002,O-OH,8.667,8,0,-1.2349675,-1.2634803771633158,20.17431473147315,20.65,1.65,12,4,30
43,4.757155339999997,-4.93987,4,Zn,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,13.599860464771206,-1.8188669372042643,-5.053921508653263,3d,0.0,4.0,2.573420529999993,OH,2.183734810000004,O-OH,8.0,8,0,-1.2349675,-1.2634803771633158,20.65,20.65,1.65,12,4,30
44,4.304232200000001,-4.805119999999999,3,Ga,10,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/10_Ga2O3/no_sym/ICOHPLIST.lobster,14.596862988096058,-2.36748777376825,-5.003014116402219,3d,-5.867330000000002,2.833,1.6799711099999968,OH,2.6242610900000045,O-OH,10.167,10,0,-1.6017066666666662,-1.667671372134073,20.406281327214966,21.080333333333332,1.81,13,4,31
45,4.741778619999991,-5.25853,4,Ga,9,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,13.994472574330214,-1.6744251701098007,-5.65759070441451,3d,-4.991985,3.333,2.081958209999982,OH,2.659820410000009,O-OH,9.667,9,0,-1.3146325,-1.4143976761036274,21.249048004800482,21.5025,1.81,13,4,31
