,Adsorption Energy,Bulk ICOHP,Oxidation State,Metal Symbol,Outer Electrons,Adsorbate,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Surface Oxidation State
41,1.37698908,-10.64273,5,Cr,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/01_Cr2O5/no_sym/ICOHPLIST.lobster,(5.9125336975910034+0j),0,-10.50377316,3d,0,4
42,1.51679231,-10.64273,5,Cr,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/01_Cr2O5/no_sym/ICOHPLIST.lobster,(5.9125336975910034+0j),0,-10.50377316,3d,0,5
43,0.01700794,-6.70353,3,V,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/02_V2O3/no_sym/ICOHPLIST.lobster,(7.830143548033811+0j),0,-6.659076328,3d,0,2.833
44,0.19372555,-10.01771,4,V,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/01_VO2/no_sym/ICOHPLIST.lobster,(5.934139146954678+0j),0,-9.681273521,3d,0,3.333
45,0.70302969,-10.01771,4,V,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/01_VO2/no_sym/ICOHPLIST.lobster,(5.934139146954678+0j),0,-9.681273521,3d,0,4
46,0.45486012,-13.18416,5,V,0,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/00_V2O5/no_sym/ICOHPLIST.lobster,0j,0,-13.13315136,3d,0,4
47,1.44212441,-13.18416,5,V,0,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/00_V2O5/no_sym/ICOHPLIST.lobster,0j,0,-13.13315136,3d,0,5
48,-0.344584225,-3.9185,2,V,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/02_VO/no_sym/ICOHPLIST.lobster,(9.208867570199484+0j),0,-4.121262795,3d,0,1.93
49,-1.0633561,-7.74845,3,Ti,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/01_Ti2O3/no_sym/ICOHPLIST.lobster,(6.001932437987127+0j),0,-7.669094633,3d,0,2.833
50,1.72090418,-10.47232,4,Ti,0,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/00_TiO2/no_sym/ICOHPLIST.lobster,0j,0,-10.16533197,3d,0,3.333
